고유번호,프로젝트,지역,주소,시도,시군구,읍면동,지역2,지구,용도,대지면적,건축면적,연면적,건폐율,용적률,지상층수,지하층수,구조,내부마감,외부마감,설계개념
A-00001,양평 주택,경기,경기도 양평군 양평읍 도곡리 672-2,경기,양평,군 양평읍 도곡리 672-2,도시지역,시설보호지구,단독주택,682,136.06,197.46,19.95,24.12,3,,철근콘크리트조,,,
A-00002,세곡동 주택,서울,서울시 강남구 세곡동 432-1,서울,강남구,세곡동 432-1,주거지역,개발진흥지구,단독주택,412,205.94,427.15,49.99,75.3,2,1,,,,
A-00003,둔촌동 주택,서울,서울특별시 강동구 둔촌동 459-8번지,서울,강동구,둔촌동 459-8번지,주거지역,경관지구,,477.9,267.74,697.63,560.2,14.95,5,,철근콘크리트조,,,
A-00004,전주덕진행복 주택,전북,전라북도 전주시 덕진구 덕진 1가,전북,전주시,덕진구 덕진 1가,기타지역,미관지구,공동주택,3578,791.49,5496.95,22.12,146.38,12,1,철근콘크리트조,,,
B-00091,SJW패션 사옥,서울,서울 강남구 논현동 63-7,서울,강남구,논현동 63-7,도시지역,취락지구,근린생활시설,521.8,312.95,2333.37,59.98,364.32,7,1,철근콘크리트조,"바닥-셀프레벨링, P타일, 원목마루  벽-모노쿠쉬, V.P 도장, 노출콘크리트, 미장  천정-노출콘크리트, V.P도장",,"20여 년 전에 지어진 철근콘크리트 구조의 5층 건물을 리모델링하고 2개 층을 수직 증축하는 프로젝트였다. 건축주는 자신의 분야에서 활발히 활동하는 아티스트로서 이 프로젝트를 통하여 자신의 세계를 새롭게 펼쳐 보려는 생각을 갖고 있었는데, 여러 면에서 고무적인 캐릭터를 갖고 있었다. 대지의 위치가 갖는 임대공간의 경제적 효용성과는 별도로 스튜디오, 전시매장, 각종 지원시설은 물론 큰 규모의 창고와 생산 공장 까지 강남의 대로변에 묶어 두어 생산라인을 원스톱으로 통합하는 시스템을 구축하고, 작은 규모의 관련행사를 소화해 내는 공간 프로그램이었다.    계획지 주변은 대규모 자동차 전시장과 상업, 업무시설이 산재하는데 패션사옥이 입지하기엔 너무 썰렁한 듯 했으나 동종업계가 밀집해있는 압구정동과 청담동의 열기와 집적효과에서 살짝 벗어나 있는 대지의 위치는 우리에게 바둑판의 묘수를 떠올리게 했다.    우리는 먼저 대지의 위치특성과 프로그램의 관계에 주목하였다. 계획지가 매달려 있는 언주로는 강남의 중심지역을 동서로 가르는 가로망들과 직교하는 간선도로로서 성수대교를 기점으로 북으로는 서울 동북부의 주거, 상업지역과 남으로는 강남의 주요 상업, 업무지역을 길게 관통하고 있다. 교통의 요지에 있으면서 번잡하지 않고 약간의 터치를 통해서 비교우위를 얻을 수 있는 곳. 계획지가 가지는 잠재력과 자신의 세계가 특별하게 표현되길 원하는 건축주의 소망사이에 현실과 꿈이 뒤섞인 무언가가 있다는 게 느껴졌다.             우리는 구조진단을 통해서 골조를 보강하고 외피를 새로 입히되 필요한 경우에 적극적으로 뼈대를 드러내어 이 건물의 과거를 환기시키기로 하였다. 전면은 개구부를 필요로 하지 않는 공간을 위해서 최소의 창문을 두고, 많은 면적을 벽에 할애하였는데, 지상 1, 2층은 투명하게, 3~5층은 밋밋하게, 6, 7층은 드라마틱하게 되었다. 전면의 벽이 갖는 깊고 다양한 표정은 증축된 부분의 과감한 평면구성과 스킨쉽을 자극하는 질감 그리고 가까이하기엔 만만치 않은 형태감에서 비롯된다. 내부는 패션과 건축이 공유할 수 있는 몇 개의 키 컨셉에 의해 마무리되었는데, 환타지와 리얼리티, 재료와 질감, 보는 행위와 보여지는 행위, 프로덕트와 프로덕티비티 등이 그것이다."
B-00095,논현동 의화 빌딩,서울,서울 강남구 논현동 60-4 외 1,서울,강남구,논현동 60-4 외 1,농립지역,경관지구,근린생활시설,1145.5,572.34,4971.53,49.96,249.29,6,3,철근콘크리트조,"T20이뻬, 벽-모르타르 위 도장",알루미늄 판넬,"상업용 건물의 사용자들에게 공통적인 속성이 몇 가지 있다. 첫째는 주어진 공간을 자신에게 맞게 변화시키려는 것이다. 둘째는, 이렇게 형성된 자신의 개성을 외부로 표출하려는 것이다. 이는 상업용 건물의 대표적 특성이긴 하나, 곤란한 문제를 일으킨다. 도시를 혼란스럽게 만드는 것이다. 셋째는 가로에 접한 표면적을 최대화시키고 결과적으로 도시공간의 소통을 차단하는 것이다.   상업용 건물에는 개성화된 공간의 필요성이 특히 높다. 사용자의 총체적인 아이덴티티의 형성이 사업의 성공과 직결되기 때문이다. 그들의 아이덴티티는 외부로 표출될 경우 더욱 효과적이 된다. 표출된 아이덴티티들은 상호경쟁적이며, 서로간에 차별성을 유지하려 하고, 지속적으로 변화한다. 이들이 군집된 도시의 가로는 예측하거나 통제하기 어렵다. 질서를 유지하기 위해 건축적, 도시적 질서를 부여하지만, 도시에 나타나는 혼돈의 문제는 여기에도 원인이 있다. 억제되기 어려운 개별적 특성들이 질서체계를 거부하거나, 허용된 개성 표현의 기준을 초과하기 때문이다.   다원성  도시가 혼란스러운 다른 원인은 ‘다양성’에서도 찾을 수 있다. 도시의 혼란스러움을 부정적으로 볼 경우, 건물의 공간과 형상을 결정짓는 기준은 질서나, 건축적 가치관 등으로 채워지게 된다. 그러나, 사용자들이 그러한 질서나 가치관에 만족하지 못할 때, 도시의 혼란이 시작된다. 혼란이란, 잘못된 기준과 이를 극복하려는 노력들의 다툼의 모습이다. 다양성을 기반으로 하는 상호작용은 혼란이 아니다. 이는 ‘자연스러운’ 현상이다.   중첩  상호작용하며 변화하는 것은 유기체의 보편적인 특성이다. 자연계의 모든 생물, 심지어는 컴퓨터에 구현된 인공지능체에서도 ‘상호작용에 의한 진화’라는 현상이 나타난다. 도시도 같다. 개별 건물들이 질서를 이루거나 서로 경쟁하면서 도시의 모습을 바꿔 나간다. 그러나, 자연계와는 달리 도시에서의 상호작용에선 ‘중첩’이란 형태적 특징이 발생하기도 한다. 산기슭에 형성된 달동네가 그 사례다. 도시가로에도 중첩의 예가 있다. 사용자들의 아이덴티티가 표출된 이미지들이 건물의 표면을 점유하는 과정에서도 ‘중첩’의 모습을 볼 수 있다. 중첩된 형상이나 공간을 인위적으로 조성하여 사용자들의 유기체적 특성을 제어할 수 있는 가능성이 있다. 도시가로의 규칙만으로 통제하기 어려운 사용자들의 특성을, 그들이 원하고 그들의 행동의 결과에 의해 만들어질 형상을 미리 제공하여 제어할 수 있는 가능성이 있다.   계획  건물의 가로에 접한 부분들을 최소사용단위로 나누고 육면체를 기본 형태로 하였다. 이들 가로구성요소들을 투명한 유리창과, 발코니, 반투명유리창, 불투명벽체로 유형화 하였다. 각각의 최소사용단위들이 위치한 특성에 따라 유형화된 성질을 적용하고 이들을 중첩시키며 쌓아 올렸다. 성질과 크기가 다른 육면체들이 중첩되어 만들어진 내부공간들은 서로 다른 개성과 장소적 특성을 지니게 되었다.   천정 높이가 다르거나, 평면 형태에 특성이 생겼다. 바닥 일부를 들어올려 상하층의 공간감에 변화를 주었다. 도로변의 2층에 데크를 두어 가로와 건물간에 더 적극적인 교감이 발생할 수 있도록 하고, 건물 전면에 발코니들을 배치하여 가로에 활기를 줄 수 있게 했다. 유형화된 육면체의 일부는 특정한 목적을 위해 사용했다. 거리에 인접한 육면체는 강렬한 빨간색으로 보행자들과 교감하도록 했고, 가장 높은 곳의 육면체엔 초현실적 느낌의 금속을 씌워 최상의 장소를 암시했다.  건물의 전체적인 형상은 육면체들이 군집되어 중첩된 실루엣이다. 다양하고 끊임없이 변화하는 사용자들의 아이덴티티들이 개별 육면체의 표면에 이미지로 투사되고, 이들이 군집하고 중첩되어 건물의 파사드를 이룬다. 쌓아 올려진 육면체를 채우는 사용자들이 이 건물의 주체가 되며, 그들의 일상이 이 건물의 파사드를 구성하는 가장 중요한 요소가 된다. 육면체를 중첩시키는 과정에서 틈새도 발생된다. 이 틈새를 통해 도시 공간들이 시각적으로나 실제적으로 소통되도록 했다. 배면의 녹지 주변에 뚫린 틈새를 통해선 지하와 지상을 소통시켰다. 이 틈새를 통한 빛과 공기의 흐름이 지상 같은 지하층을 만들었고, 이들 틈새로 인해 주변에서 분리된 녹지공간은 부유하는 듯한 느낌을 얻었다. 도로에 면한 선큰가든을 통해 1층의 유리 육면체를 지하층으로 연속시켰고, 지하공간이 자신의 존재를 가로에 드러내도록 했다.  이 프로젝트는 건물의 주체인 사용자들의 특성을 핵심적 개념으로 놓고 진행되었다. 설계과정에 관여하는 몇몇 개인의 취향이나 가치관 보다는 건물을 채우게 될 사용자들이 요구하는 것과, 그들의 다원성을 고양시킬 수 있는 방법론에 의해 중요한 것들이 결정되었다. 이러한 비의도적 건축이 성립될 수 있는 이유는 다음과 같다. ‘아름다움은 인간의 창조적 노력의 산물일 수도 있지만, 자연계를 구성하는 구성요소들의 진정한 진화의 모습 그 자체일 수도 있기 때문이다.    ■ 건축가 인터뷰(2012.07.16)    [설계의도]  현재 강남의 많은 빌딩들은 건물 자체로 하나의 랜드마크적인 성향이 강해지고 있다. 따라서 그 안에 속한 단체나 개인들이 그 건물 하나에 속해져 개개인의 특성이 사라지게 되는 현상이 발생한다. 의화빌딩은 그에 반해 각 매스 하나하나로 공간속에서 활동하는 사람들을 보여줌으로써 개개인의 특징을 살리고자 했다."
B-00254,우면동 C 주택,서울,서울 서초구 우면동 173-1,서울,서초구,우면동 173-1,상업지역,경관지구,단독주택,338,,268.74,52.38,69.48,2,1,철근콘크리트조,아크로그로시,노출콘크리트,
B-00441,국회의장 공관,서울,서울 용산구 한남동 723-48,서울,용산구,한남동 723-48,도시지역,미관지구,단독주택,7698.3,1341.4,2183.6,,,3,0,철근콘크리트조,,석조,
B-01662,하림목조 주택,경기,경기 고양시 일산구 마두동 972-4,경기,고양시,일산구 마두동 972-4,주거지역,,단독주택,248.3,119.57,247.29,48.16,78.32,2,1,목구조,,,
B-01668,가평 주택,경기,경기 가평군 외서면 호명리 153-2,경기,가평군,외서면 호명리 153-2,도시지역,경관지구,단독주택,865.4,152.05,223.8,17.57,25.86,2,0,목구조,"바닥 / 목재 바닥재, 대리석, 카펫트, 비닐 장판재(륨), 타일  벽 / 벽지, 타일  천장 / 목재, 벽지, Fiber Wall",벽돌,최고높이 : 9.35m  층고 : 2.7m
